,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MXN=X,NQ=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraRenda_Fixa,CarteiraMoeda,CarteiraEquity
304,2001-03-02,,,,-0.0038216308226638,,,,,-0.0014994403007978,,,0.0102891871447482,,,,,,,,,,
305,2001-03-05,,,,-0.0021924775335752,,,,,-0.0025784121936233,,,0.0010538851584678,,,,,,,,,,
306,2001-03-06,,,,-0.0,,,,,0.0097600927513164,,,-0.011756265156231,,,,,,,,,,
307,2001-03-07,,,,0.0004501302090261,,,,,0.0035593605833241,,,-0.004895894901481,,,,,,,,,,
308,2001-03-08,,,,0.0154541971786149,,,,,-0.0033670989128551,,,-0.000557057623032,,,,,,,,,,
309,2001-03-09,,,,0.0102652812934487,,,,,0.0113432393547115,,,-0.0096391248098906,,,,,,,,,,
310,2001-03-12,,,,-0.0060087622975697,,,,,-0.0104001788860796,,,-0.0040585663827649,,,,,,,,,,
311,2001-03-13,,,,-0.0043334986328664,,,,,0.0145791899788561,,,-0.0017804315419196,,,,,,,,,,
312,2001-03-14,,,,0.0300439982804949,,,,,0.0137570365263353,,,0.0115046145116616,,,,,,,,,,
313,2001-03-15,,,,0.0039658071987887,,,,,0.0107335095987709,,,-0.0087646919872208,,,,,,,,,,
314,2001-03-16,,,,-0.0071050304332042,,,,,-0.0013791519179678,,,-0.0065753404649696,,,,,,,,,,
315,2001-03-19,,,,0.0069008719851887,,,,,-0.0069988016102422,,,-0.0024496181621257,,,,,,,,,,
316,2001-03-20,,,,0.0133531392407126,,,,,0.0096145587482252,,,0.0062549399168074,,,,,,,,,,
317,2001-03-21,,,,0.0166293352716136,,,,,0.0086736051354632,,,-0.0161617568784823,,,,,,,,,,
318,2001-03-22,,,,-0.010827993632975,,,,,-0.0109373674816875,,,-0.005636698985992,,,,,,,,,,
319,2001-03-23,,,,-0.01099008568873,,,,,-0.0019813180695905,,,0.005777109461328,,,,,,,,,,
320,2001-03-26,,,,0.0157220529386074,,,,,-0.005914824437911,,,0.0025547313416965,,,,,,,,,,
321,2001-03-27,,,,0.0003319530683927,,,,,0.0013130386519479,,,0.0012884158456907,,,,,,,,,,
322,2001-03-28,,,,0.0210336256503373,,,,,0.0170986830529877,,,-0.0091347978890314,,,,,,,,,,
323,2001-03-29,,,,0.0067271338963887,,,,,0.029809384687121,,,-0.0420413668591991,,,,,,,,,,
324,2001-03-30,,,,0.0041481807074607,,,,,0.004214395523954,,,0.0231598006893148,,,,,,,,,,
325,2001-04-02,,,,-0.0077937272648324,,,,,-0.0115598889249248,,,0.0025082114349836,,,,,,,,,,
326,2001-04-03,,,,-0.0092564293985176,,,,,-0.0006172436458462,,,-0.0025272836973926,,,,,,,,,,
327,2001-04-04,,,,0.0024760270294003,,,,,-0.0126421363666946,,,-0.003618822637088,,,,,,,,,,
328,2001-04-05,,,,-0.0104638528113018,,,,,-0.0054613491519563,,,0.0042380081221498,,,,,,,,,,
329,2001-04-06,,,,0.0032249286762211,,,,,0.0161517837188843,,,0.0026504398798739,,,,,,,,,,
330,2001-04-09,,,,0.0002275021224919,,,,,-0.0086621956059472,,,0.0080116539676953,,,,,,,,,,
331,2001-04-10,,,,0.0091348839356879,,,,,0.0032320217350516,,,-0.0094501384606319,,,,,,,,,,
332,2001-04-11,,,,0.0052146940141835,,,,,-0.0126959622960902,,,0.0069986189782358,,,,,,,,,,
333,2001-04-12,,,,-0.002794320382787,,,,,0.0,,,0.007982385271225,,,,,,,,,,
334,2001-04-13,,,,-0.0,,,,,0.0113262219824347,,,0.0,,,,,,,,,,
335,2001-04-16,,,,-0.0161465029432653,,,,,-0.0124249233105571,,,0.002130024415956,,,,,,,,,,
336,2001-04-17,,,,0.0082118433744193,,,,,-0.0139336978083413,,,0.001614373276327,,,,,,,,,,
337,2001-04-18,,,,0.0037906083147331,,,,,-0.0075792092026494,,,0.0147086230302119,,,,,,,,,,
338,2001-04-19,,,,0.0212106573982942,,,,,0.0109872993574345,,,-0.0046359669141431,,,,,,,,,,
339,2001-04-20,,,,-0.0025217549525643,,,,,-0.011439957511697,,,0.0,,,,,,,,,,
340,2001-04-23,,,,-0.0036289242231067,,,,,0.0111370428992936,,,0.0091108689992534,,,,,,,,,,
341,2001-04-24,,,,-0.0,,,,,-0.0020587469943865,,,0.0031567356634472,,,,,,,,,,
342,2001-04-25,,,,0.0057952228678283,,,,,0.010769865618499,,,0.0132620166071265,,,,,,,,,,
343,2001-04-26,,,,0.0060667891069823,,,,,0.0083801425443018,,,0.0081419317964039,,,,,,,,,,
344,2001-04-27,,,,-0.0071268968764592,,,,,-0.0063053939369639,,,0.0075500112250187,,,,,,,,,,
345,2001-04-30,,,,-0.0035827893218539,,,,,-0.0126595204400378,,,-0.0274791917404196,,,,,,,,,,
346,2001-05-01,,,,-0.012465820996715,,,,,-0.0057468510794601,,,0.0009437778918882,,,,,,,,,,
347,2001-05-02,,,,0.0117037097671021,,,,,-0.0020103621610195,,,0.0110097946969202,,,,,,,,,,
348,2001-05-03,,,,-0.0018824908331424,,,,,-0.0005114472169254,,,-0.0102201510314577,,,,,,,,,,
349,2001-05-04,,,,0.0021566874888925,,,,,-0.0042654729215579,,,-0.0028425492902142,,,,,,,,,,
350,2001-05-07,,,,0.0093227393093102,,,,,0.0043363067030019,,,0.0087143029181882,,,,,,,,,,
351,2001-05-08,,,,-0.0221115184938859,,,,,0.0110004830342957,,,-0.0047598898223092,,,,,,,,,,
352,2001-05-09,,,,0.0070536878982693,,,,,0.0022129520144279,,,0.0029217795055213,,,,,,,,,,
353,2001-05-10,,,,-0.0040916393264729,,,,,-0.0016035345453682,,,0.0019647924344112,,,,,,,,,,
