,Date,ES=F,GC=F,NQ=F,RTY=F,YM=F,AverageEquity
312,2001-11-29,-0.0007141046764578,-0.000994841469894,-8.532898513406011e-05,,,
313,2001-11-30,0.0004457506504191,-0.0073925921443874,0.0003854712857324,,,
314,2001-12-03,0.0013930051790684,-0.0037238654041332,0.0008807525545286,,,
315,2001-12-04,0.0015946816334498,0.0042343230598967,0.0009088888768886,,,
316,2001-12-05,3.747610928980645e-05,-0.0012430544084058,3.398230985053637e-05,,,
317,2001-12-06,-0.0006023265774209,-0.0007463694814009,0.0005464663932041,,,
318,2001-12-07,0.0016732481868252,-0.0042632563545811,-0.0003500417551902,,,
319,2001-12-10,0.0001929090597813,0.0,-9.44889314650434e-05,,,
320,2001-12-11,-0.0001153055781423,-0.003995954387989,0.0001467030739848,,,
321,2001-12-12,-0.00172820310714,-0.0002503627067878,-0.0008595156327322,,,
322,2001-12-13,0.0007997638990143,0.0101101834864438,0.0001768080619693,,,
323,2001-12-14,-0.0007714123572103,-0.0007424369503715,0.0003057815884951,,,
324,2001-12-17,-0.0005749253191356,-0.006584936134784,0.0002374020832523,,,
325,2001-12-18,0.0006281007848937,0.0121896690406555,-0.0003878494206271,,,
326,2001-12-19,-0.0009824911750049,-0.0012386983409838,0.0008549761651402,,,
327,2001-12-20,0.0008212521134386,0.0048875922707173,0.0002478981667547,,,
328,2001-12-21,0.0002297105517341,0.0041367353783682,7.724930824233744e-05,,,
329,2001-12-24,0.0004760428524719,,0.0002038066750951,,,
330,2001-12-26,-0.0004933072133243,-0.0056375750844159,-0.000153572961794,,,
331,2001-12-27,-1.9000932938351383e-05,0.0022122081446638,0.0001284045672877,,,
332,2001-12-28,-0.000767551538382,-0.0053567124495195,0.0005089930598484,,,
333,2001-12-31,0.0003640642581418,0.0004870982571087,-0.0004192317906848,,,
334,2002-01-02,-0.0009668529832021,-0.0017069266778344,-0.0006562140860781,,,
335,2002-01-03,0.0006409274378046,-0.0017066945962175,7.732062945060462e-05,,,
336,2002-01-04,0.000645366489699,-0.0007332729167644,0.0002103066233774,,,
337,2002-01-07,0.0002476150527806,0.0007335386249775,-0.000131637960819,,,
338,2002-01-08,-0.0006915169105298,0.0108525174661958,0.0002120168694524,,,
339,2002-01-09,-0.0003832686732261,0.0088274881525757,0.00013267187453,,,
340,2002-01-10,-0.0009104023760475,0.0007108975726729,0.000238401061705,,,
341,2002-01-11,-0.0005661721936493,-0.0047528796986211,0.0004701541842418,,,
342,2002-01-14,-0.0006203107769972,-0.002390025040939,0.0001989555079813,,,
343,2002-01-15,-0.0018014106160861,-0.0068543287508797,-0.0008020679334723,,,
344,2002-01-16,-0.0006880487091195,-0.0069303311886001,0.0003814974699951,,,
345,2002-01-17,0.0004333691125553,0.0031126415810146,-0.0005013614597766,,,
346,2002-01-18,-0.0006152518064417,-0.0038425756667641,0.0006456865792615,,,
347,2002-01-22,-0.0006118863147906,-0.0070394655506467,0.0005180832341875,,,
348,2002-01-23,-0.0003345762941987,0.0012156116939023,0.0002717653386567,,,
349,2002-01-24,0.0,-0.0016930711069267,-5.8435086722696216e-05,,,
350,2002-01-25,-0.0001772296952919,-0.001213750744287,0.0001292336832339,,,
351,2002-01-28,-0.0028524213090284,0.0074531594973221,0.0005659122053969,,,
352,2002-01-29,0.0011887997376334,0.0012021730576433,-0.0001523199551367,,,
353,2002-01-30,0.0012054125510012,-0.0004791084932979,0.0001577721270121,,,
354,2002-01-31,0.0005762604056325,0.0092314292454373,-0.000246681921053,,,
355,2002-02-01,-0.0022593147849857,0.0077404746562407,0.0006620718121976,,,
356,2002-02-04,-0.0005328848195444,0.0201617176780844,0.0003513244484354,,,
357,2002-02-05,0.0004719848537704,-0.0015841588100594,-0.0001486293164049,,,
358,2002-02-06,0.000516603060768,0.0048753276001525,-0.0005307001429312,,,
359,2002-02-07,0.001485336859556,0.0083277516897377,0.0005530306624608,,,
360,2002-02-08,0.0011859681499095,0.0075259976958809,0.0002661308004725,,,
361,2002-02-11,0.0002011179343515,-0.0013199565711447,-0.0001695541452986,,,
362,2002-02-12,0.0008951573861238,-0.0028625134217188,0.0003478758014118,,,
363,2002-02-13,0.0001597652758294,-0.0006610472555776,-6.974261306664881e-06,,,
364,2002-02-14,-0.0009689944725393,0.0028780016746533,0.0006555791383615,,,
365,2002-02-15,-0.0,-0.0117418292740948,4.343330336620658e-05,,,
366,2002-02-18,-0.0017321618313922,,-0.0006341507120271,,,
367,2002-02-19,-0.0014044122994769,-0.0020393400131334,0.0002731313421155,,,
368,2002-02-20,-0.0018232352883915,-0.0020195223696477,-0.0010224771297933,,,
369,2002-02-21,0.0010427537601061,0.0,0.000176949144593,,,
370,2002-02-22,0.0014444192439599,0.0011263633392815,0.0007197891732607,,,
371,2002-02-25,0.000140599147907,-0.011759379646586,-5.965782228330614e-05,,,
372,2002-02-26,0.000299771657513,-0.0038005416484906,-0.0002949190289652,,,
373,2002-02-27,-0.0003822266724757,-0.0008869704974446,0.0003546264249747,,,
374,2002-02-28,-0.0020286789465933,0.0028689438408116,0.0011116172974014,,,
375,2002-03-01,-0.0015126757355764,-0.0028873586172474,0.0008030338250232,,,
376,2002-03-04,-0.0002519250226833,-0.0060543624791164,0.0001605134571526,,,
377,2002-03-05,-0.0010511054832258,0.0011235244343103,0.0001041071640901,,,
378,2002-03-06,0.000230375329218,0.0077129537461974,-1.3919140850114495e-05,,,
379,2002-03-07,-0.000324972969794,-0.0,0.0006030826759936,,,
380,2002-03-08,-0.0001911357094077,0.0022572027010421,-0.0001092734876697,,,
381,2002-03-11,5.740177834827417e-05,0.0056103672107822,-0.0003119152120198,,,
382,2002-03-12,-0.0009887163085083,0.0,-0.0005122954227746,,,
383,2002-03-13,-9.70768804914508e-05,0.0058819674706491,-0.0001002273548204,,,
384,2002-03-14,-0.0002207014038506,0.002504855584687,2.0610705324690405e-05,,,
385,2002-03-15,0.0006665171805981,-0.0049622152313028,0.000381281181026,,,
